Fri May 08 11:04:49 2026 - USER: user1, OPERATION: READ, FILE: test1.txt
Fri May 08 11:04:49 2026 - USER: user2, OPERATION: WRITE, FILE: test2.txt
Fri May 08 11:04:49 2026 - USER: testuser, OPERATION: ENCRYPT, FILE: secret.txt
Fri May 08 11:04:49 2026 - USER: user1, OPERATION: DELETE, FILE: oldfile.txt
Fri May 08 11:21:18 2026 - USER: user1, OPERATION: READ, FILE: test1.txt
Fri May 08 11:21:18 2026 - USER: user2, OPERATION: WRITE, FILE: test2.txt
Fri May 08 11:21:18 2026 - USER: testuser, OPERATION: ENCRYPT, FILE: secret.txt
Fri May 08 11:21:18 2026 - USER: user1, OPERATION: DELETE, FILE: oldfile.txt
Fri May 08 11:26:06 2026 - USER: user1, OPERATION: READ, FILE: test1.txt
Fri May 08 11:26:06 2026 - USER: user2, OPERATION: WRITE, FILE: test2.txt
Fri May 08 11:26:06 2026 - USER: testuser, OPERATION: ENCRYPT, FILE: secret.txt
Fri May 08 11:26:06 2026 - USER: user1, OPERATION: DELETE, FILE: oldfile.txt
Fri May 08 11:27:14 2026 - USER: user1, OPERATION: READ, FILE: test1.txt
Fri May 08 11:27:14 2026 - USER: user2, OPERATION: WRITE, FILE: test2.txt
Fri May 08 11:27:14 2026 - USER: testuser, OPERATION: ENCRYPT, FILE: secret.txt
Fri May 08 11:27:14 2026 - USER: user1, OPERATION: DELETE, FILE: oldfile.txt
Fri May 08 12:03:14 2026 - USER: user1, OPERATION: READ, FILE: test1.txt
Fri May 08 12:03:14 2026 - USER: user2, OPERATION: WRITE, FILE: test2.txt
Fri May 08 12:03:14 2026 - USER: testuser, OPERATION: ENCRYPT, FILE: secret.txt
Fri May 08 12:03:14 2026 - USER: user1, OPERATION: DELETE, FILE: oldfile.txt
Fri May 08 12:11:12 2026 - USER: user1, OPERATION: READ, FILE: test1.txt
Fri May 08 12:11:12 2026 - USER: user2, OPERATION: WRITE, FILE: test2.txt
Fri May 08 12:11:12 2026 - USER: testuser, OPERATION: ENCRYPT, FILE: secret.txt
Fri May 08 12:11:12 2026 - USER: user1, OPERATION: DELETE, FILE: oldfile.txt
Fri May 08 17:12:33 2026 - USER: user1, OPERATION: READ, FILE: test1.txt
Fri May 08 17:12:33 2026 - USER: user2, OPERATION: WRITE, FILE: test2.txt
Fri May 08 17:12:33 2026 - USER: testuser, OPERATION: ENCRYPT, FILE: secret.txt
Fri May 08 17:12:33 2026 - USER: user1, OPERATION: DELETE, FILE: oldfile.txt
Fri May 08 17:14:10 2026 - USER: user1, OPERATION: READ, FILE: test1.txt
Fri May 08 17:14:10 2026 - USER: user2, OPERATION: WRITE, FILE: test2.txt
Fri May 08 17:14:10 2026 - USER: testuser, OPERATION: ENCRYPT, FILE: secret.txt
Fri May 08 17:14:10 2026 - USER: user1, OPERATION: DELETE, FILE: oldfile.txt
Fri May 08 17:21:57 2026 - USER: user1, OPERATION: READ, FILE: test1.txt
Fri May 08 17:21:57 2026 - USER: user2, OPERATION: WRITE, FILE: test2.txt
Fri May 08 17:21:57 2026 - USER: testuser, OPERATION: ENCRYPT, FILE: secret.txt
Fri May 08 17:21:57 2026 - USER: user1, OPERATION: DELETE, FILE: oldfile.txt
Fri May 08 17:22:26 2026 - USER: user1, OPERATION: READ, FILE: test1.txt
Fri May 08 17:22:26 2026 - USER: user2, OPERATION: WRITE, FILE: test2.txt
Fri May 08 17:22:26 2026 - USER: testuser, OPERATION: ENCRYPT, FILE: secret.txt
Fri May 08 17:22:26 2026 - USER: user1, OPERATION: DELETE, FILE: oldfile.txt
Sat May 09 12:16:38 2026 - USER: user1, OPERATION: READ, FILE: test1.txt
Sat May 09 12:16:38 2026 - USER: user2, OPERATION: WRITE, FILE: test2.txt
Sat May 09 12:16:38 2026 - USER: testuser, OPERATION: ENCRYPT, FILE: secret.txt
Sat May 09 12:16:38 2026 - USER: user1, OPERATION: DELETE, FILE: oldfile.txt
Mon May 11 09:48:21 2026 - USER: user1, OPERATION: READ, FILE: test1.txt
Mon May 11 09:48:21 2026 - USER: user2, OPERATION: WRITE, FILE: test2.txt
Mon May 11 09:48:21 2026 - USER: testuser, OPERATION: ENCRYPT, FILE: secret.txt
